Subject	Block	Trial	StimType	StimCategory	Stimulus	ACC	RESP	Sound	RT
183	1	1	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.882
183	1	2	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
183	1	3	oddball	PL	ba_redu_pl_w288.avi	1	f	A	0.005
183	1	4	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	2.088
183	1	5	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
183	1	6	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.004
183	1	7	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	2.056
183	1	8	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
183	1	9	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	0.007
183	1	10	standard	PL	ba_base_pl_w288.avi	0	f	A	0.004
183	1	11	standard	PL	ba_base_pl_w288.avi	1	j	BA	2.010
183	1	12	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.924
183	1	13	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.987
183	1	14	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.939
183	1	15	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.920
183	1	16	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.955
183	1	17	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.890
183	1	18	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.990
183	1	19	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.893
183	1	20	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.936
183	1	21	oddball	PL	ba_redu_pl_w288.avi	1	f	A	1.888
183	1	22	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.925
183	1	23	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.951
183	1	24	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.893
183	1	25	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.943
