Subject	Block	Trial	StimType	StimCategory	Stimulus	ACC	RESP	Sound	RT
181	1	1	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	2	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	3	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	4	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	5	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	6	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	7	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	8	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	9	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	10	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	11	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	12	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	13	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	14	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	15	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	16	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	17	standard	PL	ba_base_pl_w288.avi	0	space	none	2.040
181	1	18	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	19	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	20	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	21	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	22	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	23	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	24	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	25	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	26	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	27	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	28	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	29	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	30	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	31	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	32	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	33	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	34	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	35	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	36	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	37	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	38	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	39	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	40	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	41	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	42	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	43	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	44	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	45	oddball	PL	ba_redu_pl_w288.avi	0	space	none	1.891
181	1	46	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	47	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	48	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	49	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	50	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	51	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	52	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	53	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	54	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	55	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	56	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	57	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	58	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	59	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	60	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
181	1	61	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	62	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	63	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
181	1	64	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
