0.0011 	WARNING 	Monitor specification not found. Creating a temporary one...
16.0844 	DATA 	Keypress: space
20.3651 	DATA 	Keypress: space
28.3649 	DATA 	Keypress: space
33.5713 	DATA 	Keypress: j
35.4123 	DATA 	Keypress: j
38.0546 	DATA 	Keypress: j
39.7724 	DATA 	Keypress: j
44.7051 	DATA 	Keypress: f
46.5390 	DATA 	Keypress: j
48.7888 	DATA 	Keypress: j
51.0563 	DATA 	Keypress: f
53.3061 	DATA 	Keypress: j
55.5756 	DATA 	Keypress: j
57.8403 	DATA 	Keypress: j
61.9718 	DATA 	Keypress: f
64.3054 	DATA 	Keypress: j
66.4549 	DATA 	Keypress: f
68.7396 	DATA 	Keypress: j
70.9376 	DATA 	Keypress: j
73.1559 	DATA 	Keypress: j
75.4725 	DATA 	Keypress: f
77.7222 	DATA 	Keypress: f
79.9720 	DATA 	Keypress: j
82.1881 	DATA 	Keypress: j
84.6219 	DATA 	Keypress: j
86.8558 	DATA 	Keypress: j
89.5063 	DATA 	Keypress: f
91.2888 	DATA 	Keypress: j
93.5720 	DATA 	Keypress: f
95.8046 	DATA 	Keypress: j
98.0721 	DATA 	Keypress: f
100.4049 	DATA 	Keypress: f
102.5224 	DATA 	Keypress: f
104.8221 	DATA 	Keypress: j
107.4891 	DATA 	Keypress: f
109.7399 	DATA 	Keypress: j
111.9910 	DATA 	Keypress: f
114.2402 	DATA 	Keypress: j
116.0383 	DATA 	Keypress: j
118.2558 	DATA 	Keypress: f
120.5725 	DATA 	Keypress: f
122.6055 	DATA 	Keypress: j
124.9717 	DATA 	Keypress: f
128.2555 	DATA 	Keypress: j
129.6540 	DATA 	Keypress: j
131.7543 	DATA 	Keypress: j
133.9718 	DATA 	Keypress: j
136.2224 	DATA 	Keypress: j
138.9894 	DATA 	Keypress: f
140.9042 	DATA 	Keypress: f
143.1063 	DATA 	Keypress: f
145.2717 	DATA 	Keypress: j
147.3057 	DATA 	Keypress: j
149.8546 	DATA 	Keypress: f
152.0557 	DATA 	Keypress: j
154.1389 	DATA 	Keypress: f
159.1901 	DATA 	Keypress: j
161.4380 	DATA 	Keypress: f
163.3056 	DATA 	Keypress: k
165.3058 	DATA 	Keypress: j
168.1730 	DATA 	Keypress: f
170.4232 	DATA 	Keypress: j
172.2213 	DATA 	Keypress: j
174.4895 	DATA 	Keypress: j
176.7729 	DATA 	Keypress: f
178.8891 	DATA 	Keypress: j
181.1883 	DATA 	Keypress: f
183.9231 	DATA 	Keypress: j
187.8883 	DATA 	Keypress: f
190.3386 	DATA 	Keypress: f
192.5549 	DATA 	Keypress: j
194.2553 	DATA 	Keypress: f
197.0553 	DATA 	Keypress: j
199.1728 	DATA 	Keypress: f
201.9817 	DATA 	Keypress: j
204.2133 	DATA 	Keypress: f
205.9726 	DATA 	Keypress: f
208.6230 	DATA 	Keypress: f
210.5227 	DATA 	Keypress: j
212.6554 	DATA 	Keypress: j
215.3741 	DATA 	Keypress: j
217.6226 	DATA 	Keypress: f
219.8567 	DATA 	Keypress: j
221.6401 	DATA 	Keypress: f
223.9712 	DATA 	Keypress: j
226.0558 	DATA 	Keypress: j
228.2561 	DATA 	Keypress: j
230.6877 	DATA 	Keypress: f
233.3564 	DATA 	Keypress: f
235.6061 	DATA 	Keypress: j
237.5226 	DATA 	Keypress: f
239.7556 	DATA 	Keypress: j
241.8887 	DATA 	Keypress: f
244.5727 	DATA 	Keypress: f
246.3231 	DATA 	Keypress: f
248.6050 	DATA 	Keypress: j
250.9567 	DATA 	Keypress: f
253.0385 	DATA 	Keypress: j
262.3392 	DATA 	Keypress: space
264.4565 	DATA 	Keypress: f
266.2945 	DATA 	Keypress: f
268.9733 	DATA 	Keypress: j
270.8285 	DATA 	Keypress: j
272.9889 	DATA 	Keypress: j
275.3592 	DATA 	Keypress: f
278.0061 	DATA 	Keypress: j
279.7278 	DATA 	Keypress: f
282.0768 	DATA 	Keypress: f
284.3272 	DATA 	Keypress: j
287.0395 	DATA 	Keypress: f
289.2896 	DATA 	Keypress: j
291.5400 	DATA 	Keypress: j
293.3933 	DATA 	Keypress: f
295.5552 	DATA 	Keypress: j
297.8611 	DATA 	Keypress: j
300.1767 	DATA 	Keypress: f
302.4271 	DATA 	Keypress: j
304.6220 	DATA 	Keypress: j
306.9048 	DATA 	Keypress: f
309.3066 	DATA 	Keypress: j
311.5276 	DATA 	Keypress: j
313.7778 	DATA 	Keypress: j
316.0378 	DATA 	Keypress: f
318.2546 	DATA 	Keypress: j
320.3880 	DATA 	Keypress: j
322.5937 	DATA 	Keypress: f
324.9552 	DATA 	Keypress: f
327.4061 	DATA 	Keypress: j
329.4765 	DATA 	Keypress: f
331.8281 	DATA 	Keypress: f
334.0105 	DATA 	Keypress: j
336.7576 	DATA 	Keypress: j
338.5551 	DATA 	Keypress: f
340.7054 	DATA 	Keypress: f
343.0562 	DATA 	Keypress: j
345.1608 	DATA 	Keypress: f
347.5436 	DATA 	Keypress: j
349.8057 	DATA 	Keypress: j
352.0446 	DATA 	Keypress: f
354.4723 	DATA 	Keypress: f
357.1057 	DATA 	Keypress: f
358.8275 	DATA 	Keypress: j
361.0446 	DATA 	Keypress: f
363.5056 	DATA 	Keypress: f
365.8077 	DATA 	Keypress: f
368.3890 	DATA 	Keypress: j
370.1119 	DATA 	Keypress: j
372.3715 	DATA 	Keypress: j
375.1728 	DATA 	Keypress: j
376.8925 	DATA 	Keypress: f
379.2269 	DATA 	Keypress: j
381.4602 	DATA 	Keypress: f
383.7891 	DATA 	Keypress: j
385.9261 	DATA 	Keypress: j
388.3431 	DATA 	Keypress: f
390.5761 	DATA 	Keypress: f
392.7945 	DATA 	Keypress: j
395.0895 	DATA 	Keypress: j
397.2434 	DATA 	Keypress: j
399.5096 	DATA 	Keypress: j
401.7937 	DATA 	Keypress: j
404.0223 	DATA 	Keypress: j
406.3119 	DATA 	Keypress: j
408.6886 	DATA 	Keypress: j
410.8396 	DATA 	Keypress: f
413.0772 	DATA 	Keypress: j
415.3894 	DATA 	Keypress: f
417.6276 	DATA 	Keypress: j
419.9098 	DATA 	Keypress: f
422.1265 	DATA 	Keypress: j
424.2054 	DATA 	Keypress: f
426.5275 	DATA 	Keypress: j
428.9269 	DATA 	Keypress: j
431.1431 	DATA 	Keypress: f
433.4763 	DATA 	Keypress: f
436.3034 	DATA 	Keypress: j
438.0384 	DATA 	Keypress: f
440.7234 	DATA 	Keypress: j
442.5052 	DATA 	Keypress: j
444.6778 	DATA 	Keypress: j
447.0550 	DATA 	Keypress: j
449.7739 	DATA 	Keypress: f
451.7236 	DATA 	Keypress: j
454.3071 	DATA 	Keypress: j
456.2232 	DATA 	Keypress: f
458.3717 	DATA 	Keypress: j
460.6599 	DATA 	Keypress: f
462.6721 	DATA 	Keypress: j
465.1094 	DATA 	Keypress: f
467.4103 	DATA 	Keypress: j
469.6768 	DATA 	Keypress: f
471.8727 	DATA 	Keypress: f
474.1437 	DATA 	Keypress: j
476.5440 	DATA 	Keypress: j
478.6109 	DATA 	Keypress: j
481.4242 	DATA 	Keypress: f
483.6899 	DATA 	Keypress: j
485.4721 	DATA 	Keypress: f
487.8382 	DATA 	Keypress: j
493.2587 	DATA 	Keypress: space
495.4766 	DATA 	Keypress: j
497.2053 	DATA 	Keypress: j
499.2613 	DATA 	Keypress: j
501.4598 	DATA 	Keypress: j
503.8094 	DATA 	Keypress: j
506.0555 	DATA 	Keypress: j
508.3105 	DATA 	Keypress: j
510.4105 	DATA 	Keypress: j
512.7278 	DATA 	Keypress: j
514.7769 	DATA 	Keypress: j
517.1557 	DATA 	Keypress: j
519.6607 	DATA 	Keypress: j
522.5077 	DATA 	Keypress: j
524.1444 	DATA 	Keypress: j
526.3069 	DATA 	Keypress: j
529.2904 	DATA 	Keypress: j
530.8883 	DATA 	Keypress: j
533.1770 	DATA 	Keypress: j
535.7404 	DATA 	Keypress: j
539.5612 	DATA 	Keypress: j
542.8559 	DATA 	Keypress: j
544.2552 	DATA 	Keypress: j
546.4442 	DATA 	Keypress: j
548.7276 	DATA 	Keypress: j
550.9724 	DATA 	Keypress: j
554.1557 	DATA 	Keypress: j
556.4232 	DATA 	Keypress: j
557.8391 	DATA 	Keypress: j
560.2606 	DATA 	Keypress: j
562.4943 	DATA 	Keypress: j
564.4939 	DATA 	Keypress: j
566.5719 	DATA 	Keypress: j
569.1600 	DATA 	Keypress: j
571.3058 	DATA 	Keypress: j
573.4758 	DATA 	Keypress: j
575.6888 	DATA 	Keypress: j
577.8729 	DATA 	Keypress: j
580.3272 	DATA 	Keypress: j
582.3928 	DATA 	Keypress: j
584.9384 	DATA 	Keypress: j
587.0897 	DATA 	Keypress: j
589.3774 	DATA 	Keypress: j
591.6935 	DATA 	Keypress: j
593.6931 	DATA 	Keypress: j
595.7284 	DATA 	Keypress: j
598.6724 	DATA 	Keypress: j
600.6885 	DATA 	Keypress: j
602.8549 	DATA 	Keypress: j
604.6884 	DATA 	Keypress: j
607.3897 	DATA 	Keypress: j
609.5947 	DATA 	Keypress: j
613.7112 	DATA 	Keypress: j
616.0050 	DATA 	Keypress: j
618.4112 	DATA 	Keypress: j
620.7892 	DATA 	Keypress: j
623.3614 	DATA 	Keypress: j
625.3051 	DATA 	Keypress: j
627.4062 	DATA 	Keypress: j
629.8052 	DATA 	Keypress: j
632.2122 	DATA 	Keypress: j
634.3555 	DATA 	Keypress: j
636.8716 	DATA 	Keypress: j
639.0606 	DATA 	Keypress: j
641.1603 	DATA 	Keypress: j
643.5885 	DATA 	Keypress: j
645.9381 	DATA 	Keypress: j
